               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.012523,            0.004035,                   0,              0.9042,             0.87575,             0.87255,             0.39046,            0.046057,            0.003812,                   0,           0.0006834,           0.0006834,           0.0006834
                  80,            0.012976,           0.0040568,                   0,             0.90395,             0.87318,             0.87849,             0.39328,            0.045734,           0.0038151,                   0,           0.0006537,           0.0006537,           0.0006537
                  81,            0.012592,           0.0040217,                   0,             0.90463,             0.86598,             0.87729,             0.38581,            0.045384,           0.0038151,                   0,            0.000624,            0.000624,            0.000624
                  82,            0.012586,            0.003982,                   0,             0.89953,             0.85567,             0.87002,             0.38714,            0.045564,           0.0038243,                   0,           0.0005943,           0.0005943,           0.0005943
                  83,            0.012512,           0.0039782,                   0,             0.92031,             0.86598,             0.89164,             0.39922,            0.045482,           0.0038337,                   0,           0.0005646,           0.0005646,           0.0005646
                  84,            0.011642,           0.0039799,                   0,             0.90472,              0.8866,             0.89075,             0.38942,            0.044693,           0.0038356,                   0,           0.0005349,           0.0005349,           0.0005349
                  85,             0.01195,           0.0040077,                   0,             0.92386,             0.87629,             0.89075,             0.39007,            0.044006,            0.003853,                   0,           0.0005052,           0.0005052,           0.0005052
                  86,            0.011445,           0.0039774,                   0,             0.91983,             0.87629,              0.8915,             0.38217,            0.044608,           0.0038477,                   0,           0.0004755,           0.0004755,           0.0004755
                  87,            0.011863,           0.0039261,                   0,             0.92295,             0.86598,             0.87929,              0.3971,            0.044678,           0.0038288,                   0,           0.0004458,           0.0004458,           0.0004458
                  88,            0.010762,           0.0039773,                   0,             0.92261,             0.86033,             0.88983,             0.40144,            0.044694,           0.0038263,                   0,           0.0004161,           0.0004161,           0.0004161
                  89,            0.011122,           0.0039722,                   0,              0.9246,             0.86598,              0.8889,             0.39734,            0.044637,           0.0038248,                   0,           0.0003864,           0.0003864,           0.0003864
                  90,               0.011,           0.0039832,                   0,              0.9284,             0.86598,             0.88968,             0.39232,            0.044349,           0.0038319,                   0,           0.0003567,           0.0003567,           0.0003567
                  91,            0.010695,           0.0039137,                   0,             0.92878,             0.86598,             0.88302,             0.39815,            0.045329,           0.0038256,                   0,            0.000327,            0.000327,            0.000327
                  92,            0.010674,           0.0039086,                   0,             0.92904,             0.86598,             0.88763,             0.39952,            0.044899,           0.0038293,                   0,           0.0002973,           0.0002973,           0.0002973
                  93,            0.010663,           0.0038967,                   0,             0.92328,             0.86848,             0.88965,             0.39671,            0.045035,           0.0038297,                   0,           0.0002676,           0.0002676,           0.0002676
                  94,            0.010244,           0.0039067,                   0,             0.92613,             0.86598,               0.884,             0.39741,             0.04539,           0.0038257,                   0,           0.0002379,           0.0002379,           0.0002379
                  95,            0.010315,           0.0039183,                   0,             0.92309,             0.86619,             0.88896,             0.39053,            0.045465,           0.0038293,                   0,           0.0002082,           0.0002082,           0.0002082
                  96,            0.010423,           0.0038899,                   0,             0.92319,             0.86598,             0.88855,             0.39509,            0.045114,           0.0038274,                   0,           0.0001785,           0.0001785,           0.0001785
                  97,           0.0096319,           0.0038807,                   0,             0.92568,             0.86598,             0.88905,              0.3996,            0.044983,           0.0038332,                   0,           0.0001488,           0.0001488,           0.0001488
                  98,             0.01002,            0.003928,                   0,             0.93382,             0.87284,             0.89003,             0.40826,            0.044844,           0.0038216,                   0,           0.0001191,           0.0001191,           0.0001191
                  99,            0.010234,           0.0039118,                   0,             0.93376,             0.87203,              0.8901,             0.40446,            0.044784,           0.0038186,                   0,            8.94e-05,            8.94e-05,            8.94e-05
